Date,Price,Open,High,Low,Change %,,http://www.worldgovernmentbonds.com/bond-historical-data/australia/10-years/
01/10/2023,4.474,4.467,4.706,4.413,-0.86%,,
01/09/2023,4.513,4.002,4.523,3.977,11.76%,,
01/08/2023,4.038,4.009,4.327,3.973,0.15%,,
01/07/2023,4.032,4.019,4.315,3.885,0.75%,,
01/06/2023,4.002,3.597,4.085,3.568,10.25%,,
01/05/2023,3.63,3.253,3.778,3.253,6.83%,,
01/04/2023,3.398,3.294,3.538,3.173,2.07%,,
01/03/2023,3.329,3.883,3.937,3.155,-13.42%,,
01/02/2023,3.845,3.55,3.952,3.382,8.95%,,
01/01/2023,3.529,4.056,4.068,3.346,-12.52%,,
01/12/2022,4.034,3.511,4.098,3.289,13.12%,,
01/11/2022,3.566,3.825,4.063,3.516,-5.21%,,
01/10/2022,3.762,3.911,4.234,3.64,-5.36%,,
01/09/2022,3.975,3.657,4.153,3.533,9.66%,,
01/08/2022,3.625,3.043,3.734,3.009,17.62%,,
01/07/2022,3.082,3.597,3.672,3.074,-16.57%,,
01/06/2022,3.694,3.355,4.194,3.318,10.14%,,
01/05/2022,3.354,3.242,3.603,3.191,5.57%,,
01/04/2022,3.177,2.8,3.179,2.756,14.69%,,
01/03/2022,2.77,2.129,2.894,2.056,27.18%,,
01/02/2022,2.178,1.907,2.301,1.844,13.91%,,
01/01/2022,1.912,1.651,2.051,1.643,14.08%,,
01/12/2021,1.676,1.698,1.749,1.518,-4.23%,,
01/11/2021,1.75,1.945,2.003,1.637,-12.28%,,
