Date,Price,Change %,,http://www.worldgovernmentbonds.com/bond-historical-data/australia/10-years/
01/10/2023,4.474,-0.86%,,
01/09/2023,4.513,11.76%,,
01/08/2023,4.038,0.15%,,
01/07/2023,4.032,0.75%,,
01/06/2023,4.002,10.25%,,
01/05/2023,3.63,6.83%,,
01/04/2023,3.398,2.07%,,
01/03/2023,3.329,-13.42%,,
01/02/2023,3.845,8.95%,,
01/01/2023,3.529,-12.52%,,
01/12/2022,4.034,13.12%,,
01/11/2022,3.566,-5.21%,,
01/10/2022,3.762,-5.36%,,
01/09/2022,3.975,9.66%,,
01/08/2022,3.625,17.62%,,
01/07/2022,3.082,-16.57%,,
01/06/2022,3.694,10.14%,,
01/05/2022,3.354,5.57%,,
01/04/2022,3.177,14.69%,,
01/03/2022,2.77,27.18%,,
01/02/2022,2.178,13.91%,,
01/01/2022,1.912,14.08%,,
01/12/2021,1.676,-4.23%,,
01/11/2021,1.75,-12.28%,,
