Country,GDP_Per_Capita,Current_Interest_Rate,Previous_Interest_Rate,Average_inflation_rate,Current_Wage_Growth,Previous_Wage_Growth
Afghanistan,373,6,,3.38,10.8,5.7
Albania,6396,3,3,1.78,,
Algeria,3700,3,3,4.14,,
Andorra,42066,,,,,
Angola,2258,17,17,22.64,,
Anguilla,19216,,,,,
Antigua and Barbuda,15246,,,,,
Argentina,10761,133,118,40.85,,
Armenia,4967,9.75,10.25,2.62,,
Aruba,29342,,,,,
Australia,66916,4.1,4.1,1.78,3.6,3.7
Austria,53840,,,,,
Azerbaijan,5296,9,9,5.02,,
Bahamas,27478,4,4,1.86,,
Bahrain,26563,6.25,6.25,0.63,,
Bangladesh,2450,6.5,6.5,5.58,,
Barbados,17225,2,2,3.51,,
Belarus,7121,9.5,9.5,6.25,17.6,18.5
Belgium,51166,,,,9.19,9.27
Belize,6229,2.25,2.25,,,
Benin,1361,5.25,5,,,
Bermuda,112653,,,,,
Bhutan,3063,6.85,6.88,,,
Bolivia,3345,3.78,3.75,1.83,,
Bosnia and Herzegovina,7143,4.36,4.45,,11.8,13.1
Botswana,6805,2.65,2.65,3.4,,
Brazil,7507,12.75,13.25,4.35,,
British Virgin Islands,49444,,,,,
Brunei,31449,5.5,5.5,,,
Bulgaria,12207,3.29,3.12,1.92,,
Burkina Faso,8935.25,5,,,
Burundi,311,7.49,7.75,,,
Cambodia,1608,0.88,0.87,,,
Cameroon,1668,5,5,,,
Canada,52112,5,5,1.94,4.3,3.6
Cape Verde,3293,1,1,1.05,,
Cayman Islands,85250,,,,,
Central African Republic,461,5,5,,,
Chad,955,5,5,,,
Chile,16265,9.5,10.25,2.8,,
China,12437,3.45,3.45,2,,
Colombia,6104,13.25,13.25,3.36,,
Comoros,1631,3.08,2.87,,,
Congo,,25,25,,,
Cook Islands,19264,,,,,
Costa Rica,12472,6.5,6.5,1.6,,
Croatia,16983,,,,13.42,12.41
Cuba,11255,2.25,2.25,,,
Curacao,14183,5.5,5.5,,,
Cyprus,32281,,,,7.6,8.3
Czech Republic,51073,7,7,2.67,-3.1,-6.6
Denmark,68037,3.6,3.35,0.85,,
Djibouti,3348,,,,,
Dominica,7571,,,,,
Dominican Republic,8477,7.5,7.5,4.05,,
DR Congo,551,11,11,18.09,,
Ecuador,5965,9.49,9.29,,,
Egypt,3898,19.25,19.25,13.69,,
El Salvador,4551,5.02,3.43,,,
Equatorial Guinea,7605,5,5,,,
Eritrea,623,,,,,
Estonia,27991,,,,12.4,13.3
Eswatini,3969,7.5,,4.36,,
Ethiopia,825,7,7,,,
Euro Area,,4.5,4.25,,4.6,4.9
Fiji,4647,0.25,0.25,1.54,,
Finland,53703,,,,7,5.1
France,44229,,,,1.9,0.7
French Polynesia,19915,,,,,
Gabon,7911,5,5,,,
Gambia,772,17,17,6.93,,
Georgia,4975,10,10.25,5.59,,
Ghana,2409,30,30,9.7,,
Greece,20571,,,,,
Greenland,58185,,,,,
Grenada,8950,,,,,
Guatemala,4883,5,5,3.97,,
Guinea,1185,11.5,11.5,,,
Guinea Bissau,759,5.25,5,,,
Guyana,9026,5,5,,,
Haiti,1664,17,17,,,
Honduras,2772,3,3,4.14,,
Hong Kong,49259,5.75,5.75,1.79,,
Hungary,18728,13,14,3.3,15.2,16
Iceland,69133,9.25,9.25,2.91,2.8,2.8
India,2274,6.5,6.5,4.7,,
Indonesia,4333,5.75,5.75,2.7,,
Iran,17984,18,18,30.05,,
Iraq,4686,7.5,7.5,,,
Ireland,101109,,,,4.3,4.4
Israel,54111,4.75,4.75,0.55,,
Italy,35579,,,,3,3
Ivory Coast,2539,5.25,5,,,
Jamaica,5184,7,7,4.57,,
Japan,39650,-0.1,-0.1,0.35,1.1,1.1
Jordan,4058,7.5,7.5,2.16,,
Kazakhstan,10055,16,16.5,6.61,,
Kenya,2086,10.5,10.5,5.81,,
Kiribati,1765,,,,,
